epoch,training loss,training accuracy,eval loss,eval accuracy
1,0.0680324912071228,0.3946428596973419,0.06727280409208365,0.28214284777641296
2,0.043559369019099646,0.7214285731315613,0.04213218841967838,0.6178571581840515
3,0.028350551958595004,0.8500000238418579,0.020410969973142658,0.8910714387893677
4,0.019283329269715717,0.8678571581840515,0.010823876863079411,0.9446428418159485
5,0.012788234491433416,0.9178571701049805,0.006808844853990845,0.9678571224212646
6,0.009076612016984394,0.9535714387893677,0.004375224686892969,0.9821428656578064
7,0.006508972708668028,0.9678571224212646,0.0029183934891729483,0.987500011920929
8,0.0051184657295899735,0.9732142686843872,0.0018369816143863967,0.985714316368103
9,0.003958560353411095,0.987500011920929,0.0013008452419723782,0.9964285492897034
10,0.0030356006630297217,0.9910714626312256,0.0009549996208599104,0.9964285492897034
11,0.0025334533703114306,0.9982143044471741,0.0006589922945879932,0.9982143044471741
12,0.0021003611851483583,0.9946428537368774,0.0005456156683586804,0.9982143044471741
13,0.0023914566596171687,0.9910714626312256,0.0004156823199342138,0.9982143044471741
14,0.00214239500596055,0.9928571581840515,0.00036683216957109316,1.0
15,0.001116679427546582,1.0,0.00028677529459985505,1.0
16,0.001373277947173587,0.9982143044471741,0.00017585309584059619,1.0
17,0.001057739048597536,0.9982143044471741,0.00022238874059569622,1.0
18,0.0009516255065266575,1.0,0.00015259211982733437,1.0
19,0.0010697959140608354,0.9964285492897034,0.00013607008056299363,1.0
20,0.0007421708349803728,1.0,0.00011196670072552348,1.0
21,0.0006740242808258959,1.0,9.850619628975567e-05,1.0
22,0.0005673635468286062,1.0,8.459674915814372e-05,1.0
23,0.0005006341230390328,1.0,5.585391034920966e-05,1.0
24,0.0005232587215557162,1.0,5.535033311129415e-05,1.0
25,0.0004746205880240138,1.0,5.680653193849139e-05,1.0
26,0.0004070993571076542,1.0,4.723642923636362e-05,1.0
27,0.0003638370686011123,0.9982143044471741,3.846771344667234e-05,1.0
28,0.0003547899050837649,1.0,3.445006191863545e-05,1.0
29,0.00040968203684315084,1.0,3.225266970860373e-05,1.0
30,0.0003938986670358905,1.0,4.2096197077106416e-05,1.0
