epoch,training loss,training accuracy,eval loss,eval accuracy
1,0.985238761854245,0.2757296562194824,0.46824398813962165,0.25
2,0.23687898023154147,0.4362519085407257,0.2789027366255011,0.3732142746448517
3,0.22117668298715454,0.48156681656837463,0.32847980426823986,0.3499999940395355
4,0.29842897787255257,0.4516128897666931,0.39346764984407595,0.33571428060531616
5,0.3551994640889439,0.46198156476020813,0.4357932736831052,0.4803571403026581
6,0.30912566697725685,0.5023041367530823,0.3042173357946532,0.43214285373687744
7,0.2952000232336159,0.5222734212875366,0.29674077491675105,0.45178571343421936
8,0.3088276693897863,0.5334101319313049,0.47418210998377097,0.33571428060531616
9,0.3680375648716811,0.5099846124649048,0.3947851931410176,0.4642857313156128
10,0.32460203991141373,0.5483871102333069,0.5311534645301955,0.3839285671710968
11,0.34012236884478964,0.5280337929725647,0.48413220856870925,0.37857142090797424
12,0.37193952397816743,0.5318740606307983,0.6348820243030786,0.40714284777641296
13,0.3869743262934062,0.5322580933570862,0.567340121950422,0.4000000059604645
14,0.37082611800338816,0.5456989407539368,0.740664046843137,0.37142857909202576
15,0.3551786709491009,0.5518433451652527,0.5293555711704747,0.3946428596973419
16,0.38552046728573636,0.5384024381637573,0.6177803575992584,0.3375000059604645
17,0.36948159250063095,0.5610598921775818,0.52107483957495,0.4000000059604645
18,0.35233036841848114,0.5618279576301575,0.5219821380717414,0.4892857074737549
19,0.35891200338823637,0.5552995204925537,0.5423105137688773,0.4285714328289032
20,0.41699206829071045,0.5372503995895386,0.8394193117107663,0.4035714268684387
