epoch,training loss,training accuracy,eval loss,eval accuracy
1,0.06713692695131317,0.33870968222618103,0.07342969477176667,0.2946428656578064
2,0.03958460805328211,0.6225038170814514,0.05495197283370154,0.4821428656578064
3,0.025753130687088826,0.7557603716850281,0.05484164559415409,0.4839285612106323
4,0.01951326720542439,0.8125960230827332,0.052220274162079604,0.512499988079071
5,0.01686682708321079,0.8306451439857483,0.05077903451664107,0.5839285850524902
6,0.013952657626154968,0.8559907674789429,0.05931182646724795,0.5357142686843872
7,0.012600840368349615,0.8744239807128906,0.052836063158299244,0.5660714507102966
8,0.011248635714687693,0.8851766586303711,0.053659223818353245,0.5589285492897034
9,0.010272421266099641,0.8970814347267151,0.06036208136273282,0.5535714030265808
10,0.009317673808578888,0.90975421667099,0.060413186252117154,0.5303571224212646
11,0.008450880211802306,0.9147465229034424,0.05996732906039272,0.5642856955528259
12,0.007773211191532799,0.9239631295204163,0.05835092597241912,0.5464285612106323
13,0.007142376618176561,0.933563768863678,0.050952529800789695,0.5678571462631226
14,0.006593708090552811,0.937019944190979,0.05904421715864113,0.5267857313156128
15,0.00642632568589828,0.9347158074378967,0.05662798972002098,0.5857142806053162
16,0.005359484978626767,0.9466205835342407,0.052703045215457676,0.5803571343421936
17,0.004990476481158704,0.9485406875610352,0.05876268324043069,0.5303571224212646
18,0.0044684802695605244,0.957757294178009,0.06388187489605375,0.5428571701049805
19,0.004169580207625476,0.9631336331367493,0.05975236663860934,0.5732142925262451
20,0.0041445342712275995,0.9658218026161194,0.06530012980635677,0.5196428894996643
21,0.003825855996465445,0.9677419066429138,0.05737180052591222,0.5607143044471741
22,0.003894081526291421,0.9673579335212708,0.06594580744526216,0.5410714149475098
23,0.0033520662351675936,0.9731183052062988,0.057878651922302585,0.5375000238418579
24,0.0032509930707949187,0.9704301357269287,0.05963318236172199,0.5553571581840515
25,0.0025088633446397686,0.9784946441650391,0.06528088336012193,0.5464285612106323
