epoch,training loss,training accuracy,eval loss,eval accuracy
1,0.0673961402725331,0.3271889388561249,0.07100706270762852,0.29107144474983215
2,0.03873560455171377,0.6370967626571655,0.06326307313782828,0.4285714328289032
3,0.02439951446885887,0.7711213231086731,0.05096100648599011,0.5249999761581421
4,0.017864800463165922,0.8268049359321594,0.048078625915305956,0.5892857313156128
5,0.014108849663613579,0.8636713027954102,0.04616313518158027,0.5589285492897034
6,0.01150852734775221,0.891321063041687,0.052154246611254555,0.5535714030265808
7,0.009955114174273706,0.9047619104385376,0.054110803747815746,0.5589285492897034
8,0.007779612856846984,0.9354838728904724,0.0518506073925112,0.5428571701049805
9,0.006825109188389119,0.9473886489868164,0.05092885230800935,0.548214316368103
10,0.005449050905815284,0.9581413269042969,0.05176437736621925,0.5428571701049805
11,0.004079077417136795,0.9719662070274353,0.0550479665930782,0.5607143044471741
12,0.0029945229330370503,0.9796466827392578,0.06041588623941477,0.5642856955528259
13,0.002580802901268875,0.9865591526031494,0.06861120045983365,0.5767857432365417
14,0.00231410990813933,0.9869431853294373,0.053566509245761805,0.5642856955528259
15,0.002211248367658592,0.9846389889717102,0.06146992200187274,0.5428571701049805
16,0.0015838600683688385,0.9919354915618896,0.05597159681575639,0.5589285492897034
17,0.0013738139174855708,0.9953917264938354,0.056061531975865365,0.5464285612106323
18,0.0013029137858763314,0.9938555955886841,0.05682994042124067,0.5589285492897034
19,0.0015077383649791554,0.9900153875350952,0.057119074330798214,0.5821428894996643
20,0.0010875724645877992,0.9953917264938354,0.05230169573000499,0.550000011920929
